MAPA ->,Mapa - por partido y fuente de origen de datos,,,,,,,,,,,,,,,,
,,Ubicación,,,,,,Categoría de uso y dominio,,,,,,,,,
Propiedad_ID,Descripción,Dirección oficial,Ubicación,Localidad,Lat,Long,Direcciones secundarias,En Índice GCBA,En Índice PBA,En Templos,En alquileres,En Eduardo,En Relev,En entes,Fuentes disponibles,Categoría de uso,Universo dominial
PROP_0068,Parroquia NTRA. SRA. DE LA DIVINA PROVIDENCIA,Traful 3535,Ver en mapa,CABA,-34.650602,-58.41063,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar
PROP_0069,PARROQUIA NTRA. SRA. DE LA ESPERANZA,"Paine, Aime 1698",Ver en mapa,CABA,-34.617253,-58.360871,"Paine, Aime 1680",,,✅,,✅,,✅,"Templos, Eduardo, Entes dependientes",Parroquia y anexos,Sin relevar
PROP_0070,Parroquia NTRA. SRA. DE LA MEDALLA MILAGROSA,Curapaligue Av. 1185,Ver en mapa,CABA,-34.636489,-58.446031,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar
PROP_0071,PARROQUIA NUESTRA SRA DE LA MERCED,Reconquista 207,Ver en mapa,CABA,-34.605044,-58.372322,Reconquista 209,,,✅,,✅,✅,✅,"Relevamiento, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U5
PROP_0072,INSTITUTO NTRA SRA DE LA MISERICORDIA,Larrazabal 2372,Ver en mapa,CABA,-34.661394,-58.491187,"Larrazabal 2394 | Larrazabal 2390 | Laferrere, Gregorio De 5865",,,✅,,✅,✅,✅,"Relevamiento, Templos, Eduardo, Entes dependientes","Parroquia y anexos, Escuela",U9
PROP_0073,INSTITUTO PARROQUIAL NUESTRA SEÑORA DE LA PAZ,Pergamino 69,Ver en mapa,CABA,-34.632924,-58.474263,Pergamino 37 | Pergamino 45 | Pergamino 47 | Pergamino 53 | Pergamino 63,✅,,✅,,✅,✅,✅,"Índice GCBA, Relevamiento, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U1
PROP_0074,PARROQUIA NUESTRA SEÑORA DE LA PIEDAD,"Mitre, Bartolome 1534",Ver en mapa,CABA,-34.607762,-58.388071,"Mitre, Bartolome 1524",,,✅,,✅,✅,✅,"Relevamiento, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U5
PROP_0075,PARROQUIA NUESTRA SEÑORA DE LA RABIDA,"Saenz Peña, Luis, Pres. 427",Ver en mapa,CABA,-34.613806,-58.387561,"Saenz Peña, Luis, Pres. 441 | Belgrano Av. 1502",✅,,✅,,✅,,✅,"Índice GCBA, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U1-U3/Sin relevar
PROP_0076,PARROQUIA NUESTRA SEÑORA DE LA SALUD,"Sastre, Marcos y Bruselas",Ver en mapa,CABA,-34.625598,-58.523727,"Sastre, Marcos 6115",,,✅,,✅,,✅,"Templos, Eduardo, Entes dependientes",Parroquia y anexos,Sin relevar
PROP_0077,Capilla JESÚS VIVE (Pquia Caacupé),Zavaleta y Santo Domingo,Ver en mapa,CABA,-34.654384,-58.399987,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar
