MAPA ->,Mapa - por partido y fuente de origen de datos,,,,,,,275,0,286,92,444,226,202,,,,
694,,Ubicación,,,,,,Categoría de uso y dominio,,,,,,,,,,
Propiedad_ID,Descripción,Dirección oficial,Ubicación,Localidad,Lat,Long,Direcciones secundarias,En Índice GCBA,En Índice PBA,En Templos,En alquileres,En Destinos,En Relev,En entes,Fuentes disponibles,Categoría de uso,Universo dominial,Estado validación
PROP_0053,PARROQUIA NAVIDAD DEL SEÑOR,"Arenal, Concepcion 3545",Ver en mapa,CABA,-34.58431,-58.44676,Charlone 145 | Charlone 147,✅,,✅,,✅,✅,✅,"Índice GCBA, Relevamiento, Templos, Destinos, Entes dependientes",Parroquia y anexos,U1,
PROP_0054,INSTITUTO PARROQUIAL CANONIGO HONORARIO MARIO F ALSINA,Murguiondo 4055,Ver en mapa,CABA,-34.675784,-58.477272,"Leguizamon, Martiniano 4034 | Derqui Av. E/ Murguiondo y Leguizamón",✅,,✅,,✅,✅,✅,"Índice GCBA, Relevamiento, Templos, Destinos, Entes dependientes",Parroquia y anexos,U5,
PROP_0055,Parroquia NTRA. SRA. DE BALVANERA,"Mitre, Bartolome 2411",Ver en mapa,CABA,-34.60853,-58.400792,"Azcuenaga 126 | Mitre, Bartolome 2431",,,✅,,✅,✅,,"Relevamiento, Templos, Destinos",Parroquia y anexos,U5,
PROP_0056,Basílica SANTISIMO SACRAMENTO,San Martin 1049,Ver en mapa,CABA,-34.595482,-58.374329,San Martin 1039 | San Martin 1029 | San Martin 1083,,,✅,,✅,✅,,"Relevamiento, Templos, Destinos",Parroquia y anexos,U5,
PROP_0057,PARROQUIA NUESTRA SEÑORA DE BELEN,Burela 3243,Ver en mapa,CABA,-34.57028,-58.497814,,,,✅,,✅,✅,✅,"Relevamiento, Templos, Destinos, Entes dependientes",Parroquia y anexos,U5,
PROP_0058,Basílica NTRA. SRA. DE BUENOS AIRES,Gaona Av. 1730,Ver en mapa,CABA,-34.610938,-58.452559,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar,
PROP_0059,PARROQUIA NTRA SRA DE CAACUPE,Rivadavia Av. 4879,Ver en mapa,CABA,-34.616862,-58.433428,,,,✅,,✅,,✅,"Templos, Destinos, Entes dependientes",Parroquia y anexos,Sin relevar,
PROP_0060,PARROQUIA NUESTRA SEÑORA DE CHEZTOCHOWA I. C.,Entre Rios Av. 1941,Ver en mapa,CABA,-34.63098,-58.390841,Entre Rios Av. 1951 | Combate De Los Pozos 1942 | Combate De Los Pozos 1952,✅,,✅,,✅,,✅,"Índice GCBA, Templos, Destinos, Entes dependientes",Parroquia y anexos,U1-U3/Sin relevar,
PROP_0061,PARROQUIA NUESTRA SEÑORA DE FATIMA,Roosevelt Franklin D. 2066,Ver en mapa,CABA,-34.555567,-58.457528,,✅,,✅,,✅,✅,✅,"Índice GCBA, Relevamiento, Templos, Destinos, Entes dependientes",Parroquia y anexos,U1,
PROP_0062,PARROQUIA NTRA. SRA. DE FATIMA,"Acosta, Mariano 2979",Ver en mapa,CABA,-34.66063,-58.448803,,,,✅,,✅,,✅,"Templos, Destinos, Entes dependientes",Parroquia y anexos,Sin relevar,
PROP_0063,PARROQUIA NUESTRA  SEÑORA DE ITATI,Diaz Velez Av. 4019,Ver en mapa,CABA,-34.608519,-58.423362,,,,✅,,✅,✅,✅,"Relevamiento, Templos, Destinos, Entes dependientes",Parroquia y anexos,U5,
PROP_0064,PARROQUIA NUESTRA SEÑORA DE LA ANUNCIACION,Altolaguirre 2041,Ver en mapa,CABA,-34.580636,-58.487897,Altolaguirre 2043,✅,,✅,,✅,✅,✅,"Índice GCBA, Relevamiento, Templos, Destinos, Entes dependientes",Escuela,U1,
PROP_0065,INSTITUTO LA CANDELARIA,Bahia Blanca 363,Ver en mapa,CABA,-34.629723,-58.482001,Progreso S/N (Hoy Bogotá),,,✅,,✅,✅,✅,"Relevamiento, Templos, Destinos, Entes dependientes","Parroquia y anexos, Escuela",U3,
PROP_0066,Capilla BEATO JUAN XXIII (Pquia Santa Francisca Cabrini),Tandil 2551,Ver en mapa,CABA,-34.635086,-58.462382,,✅,,✅,,✅,✅,,"Índice GCBA, Relevamiento, Templos, Destinos",Parroquia y anexos,U1,
PROP_0067,Parroquia NTRA. SRA. DE LA CONSOLACION,"Scalabrini Ortiz, Raul Av. 1073",Ver en mapa,CABA,-34.594661,-58.430454,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar,
PROP_0068,Parroquia NTRA. SRA. DE LA DIVINA PROVIDENCIA,Traful 3535,Ver en mapa,CABA,-34.650602,-58.41063,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar,
PROP_0069,PARROQUIA NTRA. SRA. DE LA ESPERANZA,"Paine, Aime 1698",Ver en mapa,CABA,-34.617253,-58.360871,"Paine, Aime 1680",,,✅,,✅,,✅,"Templos, Destinos, Entes dependientes",Parroquia y anexos,Sin relevar,
PROP_0070,Parroquia NTRA. SRA. DE LA MEDALLA MILAGROSA,Curapaligue Av. 1185,Ver en mapa,CABA,-34.636489,-58.446031,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar,
